global_id,orig_dim_id,title,author_org,year,current_version,source_type,authority_level,domain,url,primary_secondary,key_concepts,dims_referenced,notes
N024,dim07:S17,Model-Based UI XG Final Report / Incubator Group Report,W3C MBUI XG,2010,最终报告,标准化报告,S,model-based UI 综述,https://www.w3.org/2005/Incubator/model-based-ui/wiki/Incubator_Group_Report,primary,UIML/XIML/UsiXML 评估；Cameleon 合规性,07,权威对比评估；dims: 07
N025,dim02:S2-17,The Information Capacity of the Human Motor System…,P. M. Fitts / J. Exp. Psychol.,1954,—,journal paper,S,motor control,—,primary,MT = a + b·log₂(2A/W),02,Shannon 形式为 MacKenzie 1989/1992 修正；dims: 02
N026,dim02:S2-07,Affordance 概念源流（Gibson 生态心理学）,J. J. Gibson,1977/1979,—,book/paper,S,perception,—,primary,affordance as organism–environment relation,02,Norman 概念的学术源头；dims: 02
N027,dim02:S2-12,Untersuchungen zur Lehre von der Gestalt. II,Max Wertheimer / Psychologische Forschung,1923,—,journal paper,S,perception,—,primary,分组律（proximity/similarity/continuation/closure/common fate）+ Prägnanz,02,common region 为 Palmer & Rock 1994 增补；dims: 02
N028,dim02:S2-23,Harnessing Preattentive Processes for Multivariate Data Visualization,"Healey, Booth & Enns / Graphics Interface",1993(–1996),—,conference paper,S,perception/infovis,https://graphicsinterface.org/wp-content/uploads/gi1993-14.pdf,primary,preattentive features、~200ms 通道,02,Ware《Information Visualization》系统化；dims: 02
N029,dim06:S28,DTCG FAQ,W3C DTCG,2026,—,官方 FAQ,S,positioning,https://www.designtokens.org/faq/,primary,「交换格式而非架构格式」自我定位、工具采用列表,06,—；dims: 06
N030,dim02:S2-27,Response Time in Man-Computer Conversational Transactions,Robert B. Miller / AFIPS,1968,"Nielsen 1993 ""Response Time Limits"" 沿用",conference paper,S,response time,https://www.nngroup.com/articles/response-times-3-important-limits/,primary,0.1s/1s/10s 阈值,02,比 Doherty 更稳健的时延框架；dims: 02
N031,dim06:S27,Design Tokens Resolver Module (draft),W3C DTCG,2026,2025.10 draft,规范草案,S,theming/resolution,https://www.designtokens.org/tr/drafts/resolver/,primary,sets/modifiers/contexts/resolutionOrder、数组合并序,06,草案轨道；dims: 06
N032,dim06:S26,Design Tokens Format Module 2025.10,W3C DTCG,2025,2025.10 stable,规范（Final CG Report）,S,token format,https://www.designtokens.org/TR/2025.10/format/,primary,$value/$type/$description/$extensions/$deprecated、$extends、alias、循环引用检测,06,首个 stable；非 standards-track；dims: 06
N033,dim03:S13,Validation of IA: tree testing variants vs prototypes,"Elsevier, Information and Software Technology",2025,—,同行评审论文,S,tree testing 方法学,https://www.sciencedirect.com/science/article/pii/S0950584925000795,primary,变体显著影响结果；显示历史路径的变体最准,03,180 人 1800 任务实验；dims: 03
N034,dim01:S11; dim01:S33,ISO 9241-161:2016（Withdrawn）→ ISO 9241-161:2025 Visual user-interface elements,ISO,2016/2025,2025 Ed.2,国际标准,S,UI 控件,https://www.iso.org/standard/60476.html ; https://www.en-standard.eu/bs-en-iso-9241-161-2025-ergonomics-of-human-system-interaction-visual-user-interface-elements/ ; https://www.evs.ee/en/evs-en-iso-9241-161-2016,primary,"通用 UI 元素分类、选择指南、平台无关, 161:2016 withdrawn 日期",01,2016 版 2025-12-31 撤销（EVS 记录）；与 BS EN 161:2025 互证换代；dims: 01
N035,dim07:S05,UI Specification Schema CG — Call for Participation,W3C,2025,初创,标准化公告,S,UI 规格 schema,https://www.w3.org/community/uispec/,primary,implementation-agnostic meta-model,07,2025-08 成立，极早期；SDIR 同方向证据；dims: 07
N036,dim07:S16,OASIS UIML TC 主页,OASIS,2002–2009,Completed,标准化文件,S,UIDL,https://www.oasis-open.org/committees/tc_home.php?wg_abbrev=uiml,primary,"TC 状态""Completed""",07,未完成正式标准；dims: 07
N037,dim07:S15,OASIS UIML TC Charter,OASIS,2002,TC 已关闭,标准化文件,S,UIDL 标准化,https://www.oasis-open.org/committees/uiml/charter.php,primary,abstract meta-language；canonical XML rep,07,UIML 4.0 止于 Committee Draft；dims: 07
N038,dim06:S38,dimension 单位（DTCG third editors draft）,W3C DTCG,2025,—,规范草案,S,units,https://www.designtokens.org/tr/third-editors-draft/format/,primary,px↔dp↔pt 换算、rem 有损转换,06,跨平台单位证据；dims: 06
N039,dim02:S2-01,Enhancing the Explanatory Power of Usability Heuristics (CHI '94),Jakob Nielsen / ACM,1994,—,conference paper,S,usability heuristics,https://www.nngroup.com/articles/ten-usability-heuristics/ (引用页); dl.acm.org,primary,10 heuristics 因子分析来源,02,249 problems × 101 heuristics，PCA 萃取；dims: 02
N040,dim01:S01; dim01:S02; dim01:S36; dim04:S18,ISO 9241-11:2018 Ergonomics of human-system interaction — Part 11: Usability: Definitions and concepts,ISO/TC 159/SC 4,2018,2018 Ed.2（2023 确认；1998 版已撤销）,国际标准,S,usability 定义,https://www.iso.org/standard/63500.html ; https://www.iso.org/obp/ui/en/#iso:std:iso:9241:-11:ed-2:v1:en ; https://www.mdpi.com/2414-4088/9/7/68 ; https://standards.iteh.ai/catalog/standards/cen/211a3111-08a1-4dfc-bfc0-4aa22031314b/en-iso-9241-11-1998,primary,"usability, effectiveness, efficiency, satisfaction, context of use, outcome of use, usability 3.1.1, effectiveness 3.1.12, efficiency 3.1.13, satisfaction 3.1.14, context of use 3.1.15, human-centred quality, 9241-11:2018 于 2023 系统评审确认, effectiveness/efficiency/satisfaction","01, 04","OBP 公开术语条款；全文付费；免费官方来源，Systemsmith 可直接引用；与 iso.org 状态一致；Normative 定义源；Conflict Zone C2（实质性版本误引，已修正）：dim04 原引 EN ISO 9241-11:1998 已撤销版 satisfaction/efficiency 定义；按裁决更换为 2018 版（OBP 公开条款可引用）。指标映射结论（effectiveness→成功率、efficiency→时间、satisfaction→SUS）两版下均成立，不受影响。dim04 原 URL（iTeh EN 1998 预览）：https://standards.iteh.ai/catalog/standards/cen/211a3111-08a1-4dfc-bfc0-4aa22031314b/en-iso-9241-11-1998；dims: 01, 04"
N041,dim07:S03,Customizable Select Element (Explainer),Open UI CG,2022–2025,Chromium 已发布,规范 explainer,S,Web 控件,https://open-ui.org/components/customizable-select.explainer/,primary,appearance:base-select,07,Open UI 最成熟成果；dims: 07
N042,dim07:S01,Open UI: Home,Open UI CG (W3C),持续更新,活跃,官方文档,S,Web 组件标准化,https://open-ui.org/,primary,parts/states/behaviors/可访问性规范流程,07,活跃维护；dims: 07
N043,dim02:S2-15,The Magical Number 4 in Short-Term Memory,Nelson Cowan / Behavioral and Brain Sciences,2001,—,journal paper,S,working memory,https://www.cambridge.org/core/journals/behavioral-and-brain-sciences/article/magical-number-4-in-shortterm-memory-a-reconsideration-of-mental-storage-capacity/44023F1147D4A1D44BDC0AD226838496,primary,4±1 chunks,02,当前主流修正；被引 10000+；dims: 02
N044,dim02:S2-14,"The Magical Number Seven, Plus or Minus Two",George A. Miller / Psychological Review,1956,—,journal paper,S,working memory,—,primary,7±2、chunking、单维判断通道容量,02,综述讲稿，非单一测量；dims: 02
N045,dim01:S03; dim01:S04,ISO 9241-110:2020(en) OBP（Interaction principles）,ISO OBP,2020,2020 Ed.2,标准公开条款,S,交互原则,https://www.iso.org/obp/ui/en/#iso:std:iso:9241:-110:ed-2:v1:en ; https://standards.iteh.ai/catalog/standards/cen/7cfeb7e3-9a82-44af-871c-116631d1d051/en-iso-9241-110-2020,primary,"技术无关性 scope、2006→2020 变更、AI features 排除, 7 原则官方定义、推荐类别、Figure 1 指南生态",01,"原则正文付费，scope/foreword 免费；免费预览含 Clause 4 全文；Conflict Zone C7（Open，保留为场景化裁决样例）：110:2020 新增 user engagement 原则 vs dim04 HEART""企业场景 engagement 价值有限""——原则应用优先级依赖 context of use，不得抹平；dims: 01"
N046,dim07:S27,IFML 标准化与应用（IEEE 论文）,IEEE Access 类,2019,IFML 1.0 (OMG 2013),学术论文,S,交互流建模,https://ieeexplore.ieee.org/abstract/document/8718593/,secondary,OMG 2013 采纳；WebML 谱系,07,唯一工业标准存活的抽象 UI 语言；dim 自注定级 A→S(OMG)（取箭头后级别）；dims: 07
N047,dim07:S24,MBUI – Task Models (CTT),Paternò et al. (W3C),2014,W3C Note,标准化 Note,S,任务模型,http://www.w3.org/TR/task-models/,primary,CTT 规范,07,任务层标准尝试；dims: 07
N048,dim01:S08,ISO 9241-112:2017（含目录：6 原则条款结构）,ISO/iTeh,2017,已被 2025 替代,国际标准,S,信息呈现,https://www.iso.org/standard/64840.html ; https://standards.iteh.ai/catalog/standards/cen/8f89602f-d6cd-4173-a161-4d203462da31/en-iso-9241-112-2017,primary（摘要/预览）,"detectability, freedom from distraction, discriminability, interpretability, conciseness, consistency",01,原则名以 2017 目录+110:2020 Figure 1 互证；dims: 01
N049,dim01:S07,ISO 9241-112:2025 Part 112: Principles for the presentation of information,ISO,2025,2025 Ed.2（替代 2017）,国际标准,S,信息呈现,https://www.iso.org/standard/87518.html,primary,6 呈现原则、三模态,01,2025-06 发布；dims: 01
N050,dim03:S14,Information Foraging overview,ScienceDirect Topics,n.d.,—,学术综述,S,信息觅食,https://www.sciencedirect.com/topics/computer-science/information-foraging,secondary,Pirolli & Card 1999、scent、trigger words、snacking,03,原始文献 Pirolli & Card 1999；dims: 03
N051,dim07:S06,WAI-ARIA 1.3 (Editor's Draft),W3C ARIA WG,2026,1.3 draft,规范,S,可访问性,https://w3c.github.io/aria/,primary,roles/states/properties,07,活跃；dims: 07
N052,dim01:S12,ISO 9241-171:2025 Software accessibility（替代 2008 版）,ISO,2025,2025 Ed.2,国际标准,S,可达性,https://www.iso.org/standard/86308.html ; https://www.iso.org/obp/ui/en/#!iso:std:86308:en,primary,"user accessibility needs (ISO/IEC 29138-1), WCAG 2.2 映射, 9 goals",01,"2025-12 发布，103 页；Conflict Zone C5（Resolved，dim01 正确）：ISO 版 2025-12-05 发布无误；个别成员体目录的""2026""系国家采纳年份/笔误，版本状态一律以 iso.org 为准；dims: 01"
N053,dim01:S14,ISO 9241-20:2021 An ergonomic approach to accessibility within the ISO 9241 series,ISO/iTeh preview,2021,2021 Ed.2,国际标准,S,可达性/系列关系,https://cdn.standards.iteh.ai/samples/80709/4726628e8fa64c0dbcacacbef0e04b69/ISO-9241-20-2021.pdf,primary（预览）,逐字引用 110:2020 原则、171 原则、-971 沉浸式可达性,01,免费样章，交叉核实利器；dims: 01
N054,dim01:S05,ISO 9241-110:2006 preview PDF,ISO/iTeh,2006,已撤销（2020 替代）,标准预览,S,对话原则（历史）,https://cdn.standards.iteh.ai/samples/38009/e4a9f8d013134e4981ba7a52febc4415/ISO-9241-110-2006.pdf,primary（预览）,旧版 7 条对话原则（非 10 条）,01,更正任务书事实；Conflict Zone C1（Resolved）：经三方独立学术来源确认 2006 版为 7 条对话原则（非任务书假设的 10 条）；dims: 01
N055,dim03:S18,A Pattern Language,"Alexander, Ishikawa, Silverstein et al. / Oxford UP",1977,—,书,S,模式语言源头,https://dl.acm.org/doi/10.5555/2857070.2857099（引文链）,primary,253 模式、problem-context-forces-solution、语言=关系网络,03,Normative 源头；dims: 03
N056,dim01:S29,EN ISO 9241-410:2008 preview（系列重组计划表）,CEN/iTeh,2008,—,标准预览,S,系列历史,https://standards.iteh.ai/catalog/standards/cen/d4a3391f-9f92-4f5d-bf9b-44f8c8bb6c95/en-iso-9241-410-2008,primary（预览）,旧→新编号映射（-12..-17 → 1XX、13407→210）,01,计划≠实际落地，需与实际版本对照；dims: 01
N057,dim01:S15,ISO/TR 9241-309:2008 Introduction（系列重组官方叙述）,ISO/iTeh,2008,2008,技术报告,S,系列历史,https://standards.iteh.ai/catalog/standards/iso/2c1123d0-ef23-4182-b212-097aa4c4c908/iso-tr-9241-309-2008,primary（预览）,17 部分 VDT 起源、百位系列结构,01,"""hundreds"" 划分原始出处；dims: 01"
N058,dim01:S06,ISO/TR 9241-100:2023 Overview of ISO 9241 software ergonomic standards,ISO/TC 159/SC 4,2023,2023 Ed.2,技术报告,S,系列导览,https://standards.iteh.ai/catalog/standards/iso/26a8cd02-4719-44f9-ad12-843ff5900305/iso-tr-9241-100-2023,primary（预览）,1XX 家族导览；-11/-210/-220 跨系列相关性,01,"任务书称 ""Introduction to standards related to software ergonomics""，现名 ""Overview of...""；dims: 01"
N059,dim01:S30,ISO ICS 13.180 目录（Ergonomics）,ISO,2026,—,标准目录,S,系列目录,https://www.iso.org/ics/13.180.html,primary,"全系列版本/阶段码（含 115 ""Guidance on usability"" 项目撤销记录 95.99）",01,版本状态核查入口；dims: 01
N060,dim07:S02,Open UI Getting Involved / spec template,Open UI CG,持续更新,活跃,官方文档,S,组件契约模板,https://open-ui.org/get-involved/,primary,anatomy/parts/slots/states/keyboard/AAM,07,组件契约要素清单来源；dims: 07
N061,dim01:S10,ISO 9241-125:2017 Guidance on visual presentation of information,ISO,2017,2017 Ed.1（2022 确认）,国际标准,S,视觉呈现,https://www.iso.org/standard/64839.html,primary,"coding techniques, 感知/记忆, 非规定性",01,高信息密度 UI 直接相关；dims: 01
N062,dim07:S35,Design Tokens Community Group,W3C DTCG,2025,2025.10 stable,标准化,S,设计令牌,https://www.designtokens.org/,primary,tokens.json 格式；24+ 组织,07,SDIR 视觉值引用机制；dims: 07
N063,dim01:S09; dim01:S32,"ISO 9241-115:2024 Guidance on conceptual design, user-system interaction design, user interface design and navigation design",ISO,2024,2024 Ed.1,国际标准,S,设计过程/导航,https://www.iso.org/standard/80773.html ; https://www.austrian-standards.at/de/shop/iso-9241-115-2024-2024-03-28~p3314477,primary,"conceptual design, methodology-agnostic, 115:2024 ← ISO 14915-2:2003",01,"非 ""Guidance on usability""；承接 ISO 14915-2；成员体官方；dims: 01"
A001,dim05:S12,The WebAIM Million 2026,WebAIM,2026,年度报告,Research report,A,Accessibility,https://webaim.org/projects/million/,primary,"95.9% 首页有自动可检失败, 六类错误占 96%",05,行业基线数据；dims: 05
A002,dim02:S2-05,"Signifiers, not affordances（Norman 个人站文章）",Don Norman / jnd.org,2008,—,essay,A,affordance 澄清,https://jnd.org/signifiers_not_affordances/,primary,affordance 误用史、signifier 动机,02,本次直接抓取失败，内容经 2013 书摘多源交叉验证；dims: 02
A003,dim08:R8-45,Agentic Context Engineering (ACE),arXiv 作者群 (ICLR 2026),2025/2026,paper,peer-reviewed paper,A,agent memory,(经二手综述核验),secondary,"context collapse, itemized incremental playbook",08,知识库增量演化机制参考；dims: 08
A004,dim08:R8-26,Generating Automatic Feedback on UI Mockups with Large Language Models,Duan et al.,2024,CHI 2024,peer-reviewed paper,A,AI design critique,https://dl.acm.org/doi/10.1145/3613904.3642782,primary,"GPT-4 启发式评审能力边界, 迭代退化",08,UI 评审可信度最相关研究；dims: 08
A005,dim01:S26,"Synthetic Users: If, When, and How to Use AI-Generated ""Research""",Nielsen Norman Group,2024,—,行业研究,A,AI×用户研究,https://www.nngroup.com/articles/synthetic-users/,primary,合成用户不能替代真实用户、仅 desk research/假设,01,NN/g 实证对比研究；dims: 01
A006,dim01:S27,The Use of Large Language Models in HCI: A Critical Analysis of Synthetic Users,ACM Augmented Humans 2025,2025,—,同行评审论文,A,AI×用户研究,https://dl.acm.org/doi/10.1145/3745900.3746108,primary,"normative bias, circularity, convincing mimicry, weakest link",01,给出 DO/DON'T 使用准则；dims: 01
A007,dim08:R8-39,ATAM: Method for Architecture Evaluation (SEI-2000-TR-004),Kazman et al. (CMU SEI),2000,TR-004,technical report,A,architecture tradeoff,https://www.researchgate.net/publication/2814191_ATAM_Method_for_Architecture_Evaluation ; https://www.sei.cmu.edu/documents/2543/2018_010_001_515610.pdf,primary,"质量属性场景六要素, utility tree, sensitivity/tradeoff point",08,冲突场景化方法论；dims: 08
A008,dim07:S21,How to Exploit Abstract UIs in MARIA,"Paternò, Santoro, Spano",2013,—,学术论文,A,AUI 方法论,https://ceur-ws.org/Vol-970/paper8.pdf,primary,multiAUIs 方法；MBUI 采用受限自评,07,作者自认 adoption limited；dims: 07
A009,dim07:S23,TERESA AUI 组合算子描述（Nottingham 学位论文）,Notts 大学（转述 Berti/Paternò）,~2010s,—,学位论文,A,AUI 语义,https://eprints.nottingham.ac.uk/34367/1/thesis.pdf,secondary,Grouping/Relation/Ordering/Hierarchy,07,Hierarchy=重要性层级，SDIR 直接祖先；dims: 07
A010,dim08:R8-41,Compensatory versus noncompensatory models for predicting consumer preferences,Cambridge JDM,2008+,journal article,peer-reviewed paper,A,decision frameworks,https://www.cambridge.org/core/journals/judgment-and-decision-making/article/compensatory-versus-noncompensatory-models-for-predicting-consumer-preferences/425838A1D04DF97B561BEC001107283E,primary,"lexicographic TTB vs WADD, 非补偿性",08,冲突裁决框架选择依据；dims: 08
A011,dim07:S29,pix2code: Generating Code from a GUI Screenshot,Tony Beltramelli (Uizard),2017,研究原型,学术论文,A,design-to-code,https://arxiv.org/abs/1705.07962,primary,CNN+LSTM→DSL→3 平台；77%,07,被引 530+；作者声明不可生产用；dims: 07
A012,dim07:S30,UI2Code / PSD2Code,arXiv,2025,—,学术论文,A,design-to-code,https://arxiv.org/html/2511.04012v1,primary,PSD 解析+MLLM；结构不一致问题,07,含 Sketch2Code/imgcook/CodeFun 谱系综述；dims: 07
A013,dim03:S31,Modal & Nonmodal Dialogs,NN/g,2017,—,研究型文章,A,dialog 模式,https://www.nngroup.com/articles/modal-nonmodal-dialog/,primary,modal 定义、非关键勿用 modal、狼来了效应,03,Normative；level reconciled from S/A（cross-verification §5 裁决：NN/g 研究型文章统一为 A）；dims: 03
A014,dim01:S18,Design Thinking/HCD 框架引 Brown 2009（CGIAR 出版物）,CGIAR（学术）,2025,—,学术出版,A,DT,https://cgspace.cgiar.org/server/api/core/bitstreams/fdaebcbf-350f-4cbe-a51a-5a68fd9de948/content,secondary,desirability/feasibility/viability、Inspiration-Ideation-Implementation,01,Brown 2009《Change by Design》p.86 转引；dims: 01
A015,dim01:S19,IDEO U — How to Prototype a New Business,IDEO U,2025,—,机构博客,A,DT 实践,https://www.ideou.com/blogs/inspiration/how-to-prototype-a-new-business,primary（实践）,三透镜用于原型测试优先级,01,IDEO 官方；dims: 01
A016,dim01:S17,Exploring Design Thinking Methodologies（MDPI Sustainability 系统综述）,MDPI,2025,—,学术综述,A,DT 比较,https://www.mdpi.com/2071-1050/17/15/7142,secondary,d.school 5 阶段、三框架比较、4 共同原则,01,同行评审；原级别标注 A（二级学术）（归入 A 组，细目保留）；dims: 01
A017,dim04:S09,Severity Ratings for Usability Problems,Jakob Nielsen / NN/g,1994,current,article,A,evaluation method,https://www.nngroup.com/articles/how-to-rate-the-severity-of-usability-problems/,primary,"0-4 scale, frequency/impact/persistence, 3 raters",04,单人评级不可靠的原始表述；dims: 04
A018,dim04:S08,The Principle of Common Region,Kate Whitenton / NN/g,2013 (upd. 2020),current,article,A,gestalt/grouping,https://www.nngroup.com/articles/common-region/,primary,"common region, containers, clutter",04,"含 ""Overuse Creates Clutter"" 警告；dims: 04"
A019,dim03:S23,"Designing Interfaces, 3rd ed","Tidwell, Brewer, Valencia / O'Reilly",2020,3rd ed（最新）,书,A,HCI 模式库,https://www.oreilly.com/library/view/designing-interfaces-3rd/9781492051954/,primary,模式章节结构、导航/列表/可视化模式清单,03,存活最久的 HCI 模式书；dims: 03
A020,dim03:S01,"Information Architecture for the Web and Beyond, 4th ed","Rosenfeld, Morville, Arango / O'Reilly",2015,4th ed（最新）,书,A,IA 总论,https://www.oreilly.com/library/view/information-architecture-4th/9781491911686/,primary,四大系统、findability、组织方案、受控词表,03,polar bear book；无第 5 版；dims: 03
A021,dim02:S2-11,Beyond Guidelines: What Can We Learn from the Visual Information Seeking Mantra? (InfoVis),Craft & Cairns / IEEE,2005,—,conference paper,A,infovis critique,https://ieeexplore.ieee.org/document/1509067,secondary,mantra 的局限、不可证伪性,02,批判性补充；dims: 02
A022,dim04:S10,Heuristic evaluation of user interfaces,Nielsen & Molich / ACM CHI,1990,—,conference paper,A,inspection method,https://www.textbookofusability.com/chapter/heuristic-evaluation-and-expert-review.html,primary(论文)/secondary(链接),"multiple evaluators, discovery curve",04,"""5 evaluators ~85%"" 依据泊松拟合；dims: 04"
A023,dim04:S11,The Cognitive Walkthrough Method: A Practitioner's Guide,"Wharton, Rieman, Lewis & Polson / in Nielsen & Mack (eds.), Usability Inspection Methods, Wiley",1994,—,book chapter,A,inspection method,https://www.usabilitybok.org/cognitive-walkthrough,primary,"learnability, 4 questions, CE+ theory",04,pp.105–140；主流引用版本；dims: 04
